mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.885550419489542,7.654195802994845,0.1259457270304362,0.16999659805329156,0,64,2,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30300.640076878954,-31293.06493337971,-31126.837328033085,-30906.84744609725,433.9918855353122,19
21.95709204673767,3.2473913625693815,0.14378229777018228,0.15631447751802777,0,64,2,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30940.53562209931,-31896.156901041908,-31743.71045058045,-31526.800991240554,419.1978787758958,34
66.85096486409505,6.182068647781089,0.04438122113545736,0.02195062466561433,0,64,2,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35373.44355077205,-36865.71967077026,-35879.112900137916,-36039.42537389341,619.6757601146123,49
87.96752285957336,9.641334753958603,0.19355106353759766,0.19651769518947898,0,64,4,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29554.241146492906,-30535.933010469358,-30388.998230658126,-30159.724129206796,432.32294190541234,10
77.08868471781413,1.5293313543111304,0.07354370752970378,0.06735636720507919,0,64,4,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29548.814233253706,-30355.848761643174,-30121.857266325085,-30008.840087073986,339.02393682217433,4
76.20581833521526,2.268267140903216,0.46965551376342773,0.25244224936940957,0,64,4,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31424.36279534859,-32739.201618498573,-32094.736555496853,-32086.10032311467,536.8154376182615,43
220.9888742764791,2.0313867232095686,0.21743130683898926,0.0737249392753911,0,64,10,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31511.149795107183,-32657.734722389887,-32344.80731834384,-32171.23061194697,483.9152154531889,46
218.84144965807596,2.2155435183053833,0.11280735333760579,0.08938247517588464,0,64,10,800,1,0.05,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30727.462631036615,-31771.925205239106,-31624.7324993894,-31374.706778555043,461.59878901955494,28
224.7968351840973,4.8994755838396635,0.141189972559611,0.019132759038212,0,64,10,800,1,0.01,"{'bagging_temperature': 0, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30256.102967524188,-31551.05128911573,-31253.629404747513,-31020.261220462475,553.8160470622948,22
69.27667013804118,6.128938743516371,0.15328073501586914,0.0914987311722608,0,128,2,800,1,0.1,"{'bagging_temperature': 0, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30166.023560090664,-31290.785652068287,-31017.981978861684,-30824.930397006876,479.04357897095485,13
