Feature,Importance
superficie_total,47.79482772398658
superficie_exterior_m2,11.312276800702637
calidade_valor,8.45313706681632
superficie_interior_m2,3.0778219073583535
tipo_Chalet adosado,2.713249045501788
tipo_Apartamento,2.701705674762484
lonxitude,2.5436532539796994
eficiencia_valor,2.1706124874793944
ratio_interior_exterior,2.136567056649279
superficie_por_habitacion,2.105357221236045
dist_coruna,1.70397387931909
numero_arboles_xardin,1.514364599145749
latitude,1.512148471772139
tipo_Apartamento.1,1.4750813481017897
indice_criminalidade,1.4319641513100612
dist_santiago,0.7922628501014453
tipo_Casa,0.7304176348165463
numero_habitacions,0.7131813485601081
densidad_habitaciones,0.5587616720679757
ano_construccion,0.5054016467284254
densidad_banos,0.5028217110029426
transporte_valor,0.4940411189124387
tipo_Chalet adosado.1,0.4620731481520213
numero_banos,0.40129476572303446
distancia_centro_km,0.3386575471875451
tipo_Casa.1,0.3204517757398217
edad_vivienda,0.29853781280249736
dist_vigo,0.28236834886227863
distancia_escola_km,0.19943807057080556
temperatura_media_mes_construccion,0.16687871661885284
banos_por_habitacion,0.16676907800873192
calidad_edad,0.12653734390411467
color_Amarelo,0.06595130401429056
orientacion_valor,0.05110069745792415
color_Amarelo.1,0.047933443658727364
color_Negro.1,0.046446442084645746
color_Branco.1,0.022015641474183754
color_Branco,0.017940671626708267
color_Vermello,0.014810833428916056
color_Verde.1,0.010656071695185905
color_Azul.1,0.007236175242255659
color_Verde,0.006499345714237782
color_Vermello.1,0.002774095721915122
color_Azul,0.0
color_Negro,0.0
