mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
750.4796551068624,16.85834088375579,0.16829967498779297,0.14030519380068654,1,10000,0.1,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.1}",-35583.70584989855,-36963.0535207985,-36202.7863999511,-36249.848590216054,564.0987718586647,42
762.6275826295217,18.530585727837785,0.04515178998311361,0.04086020263471748,1,10000,0.08,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.08}",-35630.82187801553,-36831.86272132614,-36250.350224595415,-36237.678274645696,490.40473798806454,41
779.5444331963857,11.599613588398597,0.17674930890401205,0.11109117862075109,1,10000,0.06,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.06}",-35561.944016882706,-36861.41216150826,-36111.063139476224,-36178.1397726224,532.6217048774337,40
774.6523396174113,17.916131307052027,0.05722745259602865,0.04132460143354562,1,10000,0.05,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.05}",-35424.76897716823,-36804.71447720284,-36058.223968256556,-36095.90247420921,563.9900401748024,38
776.1641526222229,25.14542440157887,0.027421951293945312,0.011155997627316035,1,10000,0.03,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.03}",-35441.54420534381,-36769.1024823371,-36032.92765934686,-36081.19144900926,543.0468302382885,37
730.9314653873444,14.26357106033241,0.10947751998901367,0.04616848046441359,1,10000,0.01,"{'depth': 1, 'iterations': 10000, 'learning_rate': 0.01}",-35398.11387410155,-36844.727299065955,-36066.23116860952,-36103.024113925676,591.1502296036024,39
952.6340859731039,14.705871396102273,0.13114500045776367,0.10051391964812915,2,10000,0.1,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.1}",-29924.896057260812,-30961.547440538867,-30753.290510144587,-30546.57800264809,447.74179179499833,29
962.7466366291046,27.9157264364598,0.2046802043914795,0.12535508553724553,2,10000,0.08,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.08}",-29683.4978314627,-30845.540844384184,-30542.80676150923,-30357.281812452038,492.2063395311056,23
938.7350602149963,12.664315707625422,0.14234113693237305,0.13498298544435358,2,10000,0.06,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.06}",-29693.277393718694,-30977.618374092992,-30407.896195468693,-30359.59732109346,525.4411000398549,24
925.2730240821838,23.616309113889955,0.08562310536702473,0.027274947872135375,2,10000,0.05,"{'depth': 2, 'iterations': 10000, 'learning_rate': 0.05}",-29562.57138581373,-30930.67974374789,-30408.967956927572,-30300.739695496395,563.746478003269,20
