id,superficie_interior_m2,superficie_exterior_m2,numero_habitacions,numero_banos,ano_construccion,lonxitude,latitude,temperatura_media_mes_construccion,tipo_edificacion,calidade_materiais,cor_favorita_propietario,distancia_centro_km,distancia_escola_km,indice_criminalidade,acceso_transporte_publico,orientacion,eficiencia_enerxetica,numero_arboles_xardin,prezo_euros
25521,44.96,0.00,1,2,1947,-8.17,43.20,24.75,Apartamento,Media,Azul,23.68,2.75,0.35,Bo,Norte,C,0,51938
4843,93.55,87.26,2,2,1977,-7.23,43.60,14.06,Apartamento,Alta,Verde,,16.67,0.44,Bo,Este,C,0,76891
27734,273.64,187.29,1,1,1996,-8.40,42.25,12.27,Chalet adosado,Media,Branco,29.44,18.96,0.47,Regular,Este,C,10,261441
22142,171.82,54.89,4,2,1996,-6.81,43.15,11.61,Chalet adosado,Alta,Vermello,53.31,1.96,0.35,Bo,Este,G,3,247821
14748,,2153.49,1,1,1990,-8.76,42.92,10.04,Casa,Baixa,Verde,70.20,4.72,0.09,Bo,Oeste,G,12,400645
5741,,16.46,4,2,2011,-7.41,42.80,20.35,Chalet adosado,Media,Azul,82.00,17.09,0.32,Bo,Norte,E,9,149757
21880,97.96,0.00,4,1,2022,-9.30,42.97,7.37,Apartamento,Baixa,Negro,11.77,14.11,0.08,Malo,Norte,E,0,124569
4095,102.25,1254.15,4,2,1996,-7.30,42.19,19.31,Casa,Baixa,Verde,25.67,8.03,0.59,Regular,Oeste,B,0,214036
29221,245.27,537.81,5,3,1952,-8.25,42.34,8.89,Casa,Alta,Azul,50.23,3.27,0.15,Bo,Sur,C,7,379079
24593,110.09,57.37,5,2,1983,-8.45,42.93,20.21,Apartamento,Media,Azul,18.63,14.13,0.23,Regular,Sur,B,0,136016
10242,263.71,535.69,5,3,2009,-6.97,43.57,28.36,Casa,Baixa,Branco,15.44,12.03,,Regular,Oeste,E,10,345185
15555,,4.15,4,3,1983,-8.75,42.60,24.88,Apartamento,Media,Vermello,17.16,8.23,0.23,Bo,Norte,E,0,100724
29799,34.39,0.00,2,3,1955,-6.83,42.74,26.14,Apartamento,Media,Verde,13.25,2.56,,Regular,Este,D,0,51810
25256,171.99,0.00,4,3,2008,-7.00,43.26,18.54,Apartamento,Alta,Verde,4.33,2.48,0.22,Regular,Norte,E,0,164840
3532,288.99,1949.28,5,2,2014,-8.48,42.16,20.25,Casa,Media,Amarelo,70.62,,0.19,Malo,Este,C,4,566838
29755,,27.30,1,2,2010,-7.27,43.01,25.26,Apartamento,Alta,Vermello,0.10,5.07,0.49,Bo,Norte,E,0,50000
16700,176.91,1763.17,6,3,1960,-9.05,43.73,13.90,Casa,Media,Branco,74.13,7.88,0.34,Bo,Oeste,D,3,501839
14910,,211.03,1,2,2011,-8.04,42.46,26.56,Chalet adosado,Alta,Verde,27.73,7.71,0.21,Bo,Este,E,5,285645
20733,44.34,0.00,1,2,1989,-7.76,42.03,7.95,Apartamento,Baixa,Branco,10.31,0.05,0.31,Bo,Norte,B,0,50000
13736,48.84,0.00,1,2,1950,-8.26,42.14,25.36,Apartamento,Alta,Amarelo,7.49,4.55,0.66,Regular,Este,A,0,119457
23245,189.72,,6,3,1980,-8.96,43.65,20.18,Casa,Media,Negro,77.96,15.24,0.84,Bo,Norte,A,8,305236
16065,226.36,91.60,2,3,1955,-8.22,42.72,29.01,Chalet adosado,Alta,Azul,25.32,18.82,0.37,Bo,Oeste,B,8,308143
13926,60.74,38.64,5,2,1942,-9.27,41.99,12.81,Apartamento,Media,Amarelo,12.92,0.05,0.20,Regular,Sur,B,0,75179
21650,175.77,97.88,4,2,1983,-8.75,41.89,15.32,Chalet adosado,Media,Branco,52.64,11.08,0.34,Bo,Norte,G,12,227200
17724,290.03,2863.01,2,2,1946,-8.26,43.56,16.94,Casa,Alta,Branco,54.60,12.82,0.68,Regular,Norte,E,1,778860
7871,303.77,133.55,2,3,1948,-6.83,43.67,22.29,Casa,Media,Azul,22.94,7.29,0.76,Malo,Oeste,D,9,271454
1733,192.28,1127.86,4,3,2000,-7.93,42.55,20.42,Casa,Alta,Amarelo,61.89,13.77,0.48,Bo,Oeste,B,2,461817
6931,30.00,0.00,3,3,2022,-8.26,43.66,22.42,Apartamento,Baixa,Amarelo,13.49,,0.38,Bo,Oeste,E,0,50000
7140,93.28,0.00,1,1,1946,-7.62,43.00,7.46,Apartamento,Alta,Azul,0.10,14.78,0.24,Malo,Oeste,B,0,68969
6974,59.86,20.00,6,2,1947,-8.97,41.83,19.80,Apartamento,Media,Amarelo,10.04,20.08,-0.08,Bo,Este,B,0,85564
25416,140.32,8.76,4,3,1975,-8.42,43.19,11.57,Apartamento,Alta,Amarelo,,10.75,0.53,Regular,Oeste,C,0,166264
19112,109.71,0.00,1,1,1985,-8.44,42.60,29.41,Apartamento,Baixa,Amarelo,3.84,12.42,-0.08,Bo,Norte,D,0,50000
15287,310.74,80.45,3,1,1951,-8.50,43.46,22.26,Chalet adosado,Baixa,Verde,71.48,6.09,0.09,Regular,Norte,B,16,306450
3895,104.37,784.99,3,1,2023,-6.89,42.04,27.00,Casa,Media,Verde,66.24,11.77,0.25,Regular,Norte,F,10,199480
8405,72.64,1375.76,5,2,1982,-7.56,42.10,9.23,Casa,Media,Vermello,35.69,12.48,0.63,Malo,Oeste,D,16,180576
