id,superficie_interior_m2,superficie_exterior_m2,numero_habitacions,numero_banos,ano_construccion,lonxitude,latitude,temperatura_media_mes_construccion,tipo_edificacion,calidade_materiais,cor_favorita_propietario,distancia_centro_km,distancia_escola_km,indice_criminalidade,acceso_transporte_publico,orientacion,eficiencia_enerxetica,numero_arboles_xardin,prezo_euros,ln_precio,total_area,ratio_exterior_interior,log_int_area,log_ext_area,area_per_room
25521,44.96,0.0,1,2,1947,-8.17,43.2,24.75,Apartamento,Media,Azul,23.68,2.75,0.35,Bo,Norte,C,0,51938,10.857825232047185,44.96,0.0,3.827771452980555,0.0,44.96
4843,93.55,87.26,2,2,1977,-7.23,43.6,14.06,Apartamento,Alta,Verde,,16.67,0.44,Bo,Este,C,0,76891,11.250157118872751,180.81,0.9327632282202032,4.549128795104466,4.4802870038414015,46.775
27734,273.64,187.29,1,1,1996,-8.4,42.25,12.27,Chalet adosado,Media,Branco,29.44,18.96,0.47,Regular,Este,C,10,261441,12.473967740563316,460.92999999999995,0.6844394094430639,5.615461149149437,5.237983327508337,273.64
22142,171.82,54.89,4,2,1996,-6.81,43.15,11.61,Chalet adosado,Alta,Vermello,53.31,1.96,0.35,Bo,Este,G,3,247821,12.420466025511576,226.70999999999998,0.31946222791293216,5.152250590413253,4.023385473281607,42.955
14748,,2153.49,1,1,1990,-8.76,42.92,10.04,Casa,Baixa,Verde,70.2,4.72,0.09,Bo,Oeste,G,12,400645,12.900833523380015,,,,7.675309315596989,
5741,,16.46,4,2,2011,-7.41,42.8,20.35,Chalet adosado,Media,Azul,82.0,17.09,0.32,Bo,Norte,E,9,149757,11.91677593692139,,,,2.8599125504114564,
21880,97.96,0.0,4,1,2022,-9.3,42.97,7.37,Apartamento,Baixa,Negro,11.77,14.11,0.08,Malo,Norte,E,0,124569,11.732623085880139,97.96,0.0,4.594715728084233,0.0,24.49
4095,102.25,1254.15,4,2,1996,-7.3,42.19,19.31,Casa,Baixa,Verde,25.67,8.03,0.59,Regular,Oeste,B,0,214036,12.273904176255252,1356.4,12.26552567237164,4.637153231841142,7.1350103663360605,25.5625
29221,245.27,537.81,5,3,1952,-8.25,42.34,8.89,Casa,Alta,Azul,50.23,3.27,0.15,Bo,Sur,C,7,379079,12.84550254358413,783.0799999999999,2.192726383169568,5.506428495028285,6.289363004126414,49.054
24593,110.09,57.37,5,2,1983,-8.45,42.93,20.21,Apartamento,Media,Azul,18.63,14.13,0.23,Regular,Sur,B,0,136016,11.82053515690634,167.46,0.5211190843855027,4.710340683593631,4.0668020592157,22.018
10242,263.71,535.69,5,3,2009,-6.97,43.57,28.36,Casa,Baixa,Branco,15.44,12.03,,Regular,Oeste,E,10,345185,12.75183868116968,799.4000000000001,2.03136020628721,5.578634887136764,6.285420646626116,52.742
15555,,4.15,4,3,1983,-8.75,42.6,24.88,Apartamento,Media,Vermello,17.16,8.23,0.23,Bo,Norte,E,0,100724,11.520149310059548,,,,1.6389967146756448,
29799,34.39,0.0,2,3,1955,-6.83,42.74,26.14,Apartamento,Media,Verde,13.25,2.56,,Regular,Este,D,0,51810,10.855357760915753,34.39,0.0,3.566429294357372,0.0,17.195
25256,171.99,0.0,4,3,2008,-7.0,43.26,18.54,Apartamento,Alta,Verde,4.33,2.48,0.22,Regular,Norte,E,0,164840,12.012736651923069,171.99,0.0,5.153233789358886,0.0,42.9975
3532,288.99,1949.28,5,2,2014,-8.48,42.16,20.25,Casa,Media,Amarelo,70.62,,0.19,Malo,Este,C,4,566838,13.247830591770995,2238.27,6.745146890895878,5.669846439627355,7.575728230993362,57.798
29755,,27.3,1,2,2010,-7.27,43.01,25.26,Apartamento,Alta,Vermello,0.1,5.07,0.49,Bo,Norte,E,0,50000,10.819798284210286,,,,3.342861804649192,
16700,176.91,1763.17,6,3,1960,-9.05,43.73,13.9,Casa,Media,Branco,74.13,7.88,0.34,Bo,Oeste,D,3,501839,13.126036622770625,1940.0800000000002,9.966480131140129,5.181277804446684,7.4754356038053515,29.485
14910,,211.03,1,2,2011,-8.04,42.46,26.56,Chalet adosado,Alta,Verde,27.73,7.71,0.21,Bo,Este,E,5,285645,12.562508560903854,,,,5.356727774094459,
20733,44.34,0.0,1,2,1989,-7.76,42.03,7.95,Apartamento,Baixa,Branco,10.31,0.05,0.31,Bo,Norte,B,0,50000,10.819798284210286,44.34,0.0,3.814189645079383,0.0,44.34
